상품명,가격
하빈저 여성 파워 헬스 장갑 XS 새상품,"8,000원"
르바디 요가 헬스 필라테스 레깅스 s / 새상품,"6,000원"
르바디 요가 헬스 필라테스 레깅스 s,"6,000원"
안다르 요가 헬스 필라테스 레깅스 s,"6,000원"
안다르 요가 헬스 필라테스 레깅스 2,"6,000원"
요가 헬스 필라테스 레깅스 s,"7,000원"
평창동 헬스장 애플피트니스 이용권(106일),"140,000원"
베럴짐 광화문점 헬스 이용권,"410,000원"
스포짐 헬스 이용권,"160,000원"
나이키 브라질리아 9.5 헬스가방,"20,000원"
애플피트니스 헬스장 양도권 (잔여 313일),"550,000원"
광화문역 Pro 헬스 이용권 10개월,"300,000원"
스포애니 종각점 헬스장 양도(12/30까지),"80,000원"
스쿼트 랙. 바벨 세트 랙 포함 헬스용품,"45,000원"
QCY 크로스스카이 링크 블루투스 이어폰 런닝 헬스 운동용,"13,000원"
안다르 요가 헬스 필라테스 바지 사이즈2,"7,000원"
로그 리프팅 벨트 ROGUE,"15,000원"
효자약손 4D 마사지,"20,000원"
아이폰 xs max 256 (카메라무음),"230,000원"
줌 스트릭플라이 280,"100,000원"
FROG FITNESS 조절식 덤벨,"80,000원"
풀리오 무선 종아리 마사지기,"80,000원"
stoic 무릎보호대 7mm XS 한세트 팝니다,"30,000원"
아이패드 미니 6 스페이스그레이 64,"500,000원"
나이키 트레이닝바지,"13,000원"
나이키 덩크로우 울프그레이 225사이즈,"50,000원"
미백주룸개선 화장품 *선물용 강추* (LOECELL 스킨 리부팅 스킨케어 세트),"135,000원"
헬스장용 런닝머신,"122,000원"
Born to win 헬스 백팩,"79,000원"
"헬스기구 로잉머신,노젓기운동기구","50,000원"
헬스보이짐 필라걸 불광점,1원
휴대용 체지방측정기 G헬스카드,"25,000원"
쉴드 핸드 스트랩 헬스 (문고리) 2세트,"9,500원"
헬스장용 트레드밀/러닝머신 VISIONTRACK X-ONE,나눔
애플피트니스 헬스장 이용권 양도,"120,000원"
titan 네모 바이크 헬스자전거 큐브 바이크,"100,000원"
Kettler Fitmaster 300 가정용 헬스기구,"45,000원"
판매완료,광화문 베럴짐 헬스 회원권 양도
광화문 베럴짐 헬스 회원권 양도,"450,000원"
정릉 헬스/필라테스 수강권,"180,000원"
이고진 좌식 헬스 자전거,"50,000원"
헬스 스트랩,"10,000원"
새제품 제로투히어로 프로 그립 헬스 손목보호대 분리형 EXTREME,"25,000원"
덕수궁 디팰리스 스포츠센터 헬스 이용권 양도,"1,000,000원"
애플피트니스 헬스이용권 양도합니다,"520,000원"
은성헬스빌 V61 최고급 클럽용 런닝머신! 런닝머신|고정식|,"440,000원"
싸이벡스 싸이클 / CYBEX CYCLE / CYBEX 헬스사이클 주로,"1,700,000원"
2년 전,갤럭시 워치8 40mm 실버 미개봉 판매하거나 버즈4프로 화이트로 교환 원해요~
갤럭시 워치8 40mm 실버 미개봉 판매하거나 버즈4프로 화이트로 교환 원해요~,"320,000원"
아디다스 흰색 운동화 골프화 실내운동용 220mm,"20,000원"
아디다스 런닝화 235mm,"19,000원"
나이키 에어 조던 1 미드 라이트그레이 285,"50,000원"
삼성 갤럭시 워치6 40mm 블랙,"90,000원"
필라테스/요가 양도,"250,000원"
판매완료,전완근추감기+2kg 원판 (새상품)
전완근추감기+2kg 원판 (새상품),나눔
에어팟 프로3 오른쪽 유닛 신품급,"95,000원"
이지요가,"15,000원"
애플피트니스 양도,"100,000원"
문틀 턱걸이 철봉 팔아요,"15,000원"
9인용 개인 락카 / 개인 사물함 1개,"200,000원"
엑사이더 EX360 실내자전거 팔아요,"20,000원"
