INDEX,도메인,카테고리,상품명,상품평,데이터구분
2007,가전,주방가전,(TV)○○ 간편쿡 자동불꽃조절 가스레인지_3구 일반,"일반가스레인지지만 화재사고없이 조절기능도있고 스마트한게 좋습니다.디자인은 실버생상이  튀지않고 은은한게 좋고,크기도 딱들어맞아서 좋았고, 사용할수있는용도도 좋고,설치기사분도 다정했습니다.  오래동안 잘 사용하겠습니다.",쇼핑몰
2008,가전,주방가전,(TV)OO  IH 인덕션_2만세일,사용하는데 자꾸 꺼지네요 ㅠㅠ  본사에 AS요청했더니 수거해서 봐야한다고 가져갔어요 전기렌지 사용하는데 인덕션은 빨리 끓는다고해서 구입했는데 빨리 끓지도않고 ㅠㅠ 플러그도 벽면에 있는데만 사용해야한다고 해서 불편하네요 제품이 별로 실용성은 없는거같아요,쇼핑몰
2009,가전,주방가전,(TV)OO  IH 인덕션_2만세일,"삼식을 해야하는 여름 방학을 대비하여 구매했습니다. 가스렌지와 다르게 집안 온도를 높이지 않아 매우 좋습니다. 2구중 하나는 화력이 센것도 좋습니다.  소음이야 생각했던 부분이라 신경거스릴정도는 아니네요. 다만 볶음이나 부침 음식은 인덕션이 
 익숙치 않아서인지 잘 타고 , 설 익고 하네요. 
좀더 사용해보겠습니다",쇼핑몰
2010,가전,주방가전,(TV)OO  IH 인덕션_2만세일,"추석 앞이라 그런지 배송이 조금 늦긴 했지만
제품 성능하나는 끝내주는것 같아요.
배송 받자 마자 바로 라면 끊여서 먹었는데...
열 전도율도 좋구 사용하기도 엄청 편리해요.
이가격대에 이정도 가성비라면 급 추천 드립니다.후회하지 않을거에요 ^^",쇼핑몰
2011,가전,주방가전,(TV_특)쿠** 하이브리드 전기레인지 프리미엄형 (IH2구+HL1구),"전기레인지는 가격대비 만족!^^

전기레인지는 괜찮으나 사은품은 좀 엉망이네요. 사은품으로 주시는 건 감사하나 스텐냄비에 스크래치가 엄청있어 사용하다 주신거 같고 핸드믹서기도 스크래치에 균열에..휴~
이왕 주시는 건데 성의있는 포장바랍니다.
사은품은 반품교환해야듯 하네요ㅜㅠ",쇼핑몰
2012,가전,주방가전,(방송에서만 추가구성)OO  ih 인덕션레인지 세트,소리는 좀 요란한편이라 별로지만 빠르게 데워져서 만족하네요,쇼핑몰
2013,가전,주방가전,(방송에서만 추가구성)OO  ih 인덕션레인지 세트,소음 너무 시끄럽고 과열이라고 심심하면 불꺼지고,쇼핑몰
2014,가전,주방가전,(방송에서만 추가구성)OO  ih 인덕션레인지 세트,"전기 꽃으면 되니까 이동이 자유로워서 좋고 식탁에서 식구들과 대화하면서 식사하고짚어서 구매했는데 
소음도크고 해서 마음에 안 들어서 반품하려했더니 스위치 꽂았다고 반품이 안된다네요 방송할때는 소음소리도 안나고  소음 얘기는 언급도 안하길래 그정도인줄은  몰랐네요 주위에 산다는사람 있으면 절때  사지말라고 하고 싶네요 제품볼때마다 회가나서 창고에 쳐박아뒀어요 다시는OO쇼핑 에서 상품구매하고싶지 않아요",쇼핑몰
2015,가전,주방가전,(방송에서만 추가구성)OO  ih 인덕션레인지 세트,일단 빨리끓는건 조아여.소음은조금있지만~,쇼핑몰
2016,가전,주방가전,K ○○ 혼** 멀티쿠커 전기냄비 인덕션 대용 ,"배송엄청 빠르고 색상이 이뻐요. 냄비는 좀 얇아서 내구성이 약해 보여요.

",쇼핑몰
2017,가전,주방가전,(TV) 기름짜는 미** 채유기_ARS/일시불1만,"기름은 잘 짜집니다
처음 엄청난 소음에 놀라서 수건을 반 접어 깔고 했더니 들어도 지장 없을만큼 조용해졌어요
이틀동안 세번을 짜 봤는데,첨엔 청소하는게 굉장히 번거롭게 느껴졌고 두번째부터 요령이 생겨 할만하다고 느껴져요 이정도 수고로움쯤은 
근데 기름을 짜서 시간이 지나니 침전물이 많이 생기네요 방앗간에서 짜올때는 바닥에 조금있는 정도였는데 지금은 기름병의 3분의 1 정도가 미세 침전물이 깔려있어요
선물하려고 짰는데 좀 그러네요 윗부분은 굉장히 맑아서 상대적으로 더 찌꺼기가 많아보여요
망에 다시 걸러봤는데 걸러지지가 않아요
원래 이런건가요?",쇼핑몰
2018,가전,주방가전,(TV) 기름짜는 미** 채유기_ARS/일시불1만,"시중에 파는 참기름과는 비교가 안 되네요
참기름 냄새 정말 끝내줘요
봌아놓은 참깨 500g을 짰더니 300ml(한 병) 정도로 많이 나옵니다
25분 가량 걸리네요
설명서에 연속사용시간이 25분 밖에 안돼서 한 병 짜고나면 좀 쉬었다가 다시 짜야합니다
기계에 무리가 가면 안되니까요
엄마랑 언니랑 시댁에 골고루 나눠드릴까 싶어요
진짜 맛나고 고소해요♡♡♡",쇼핑몰
2019,가전,주방가전,(TV) ○○ 양면석쇠구이기,"그전에 썼던것보다 많이좋아요
저희는 제사가 많아서 생선을 많이 구워야해서 구입을 했는데 대량으로 굽기에 사이즈가 생각한 거 보다 좀 작네요 그렇지만 전체적으로 만족 대만족 이예요.
제아들은 닭봉을 전자렌지에 구워먹었었는데 그릴에 한번구워보더니 굿 이라고 좋아하네요 
잘 쓸께요.",쇼핑몰
2020,가전,주방가전,(TV) ○○ 양면석쇠구이기,"저 갈치란 삼겹살 했는데 냄새 많이 나요 ㅠ
원래 이런가요?얼만큼 안나고 얼마나 연기를잡아주는지 이게 불량인지 원래그런지를 알수가없네요 택배아저씨들이 박스 막 던지긴 한거같던데 ㅠ 안쓰는거보단 나아요 근데 제가 기대가.큰건가요 불량인건가요 몰겠네요",쇼핑몰
2021,가전,주방가전,(TV) ○○ 양면석쇠구이기,"좀전에 받았습니다. 빠른배송에 감사드려요.하지만
제품이 너무 작습니다.구울수있는 활용면적이 가로×세로 30cm×18cm네요. 집에서 프라이팬 쓰다 이거보니 아담해서 식구들있는 곳보단 혼자 자취하는분들에게 맞을것 같네요. 두식구라서 저녁에 삼겹살 구우려고 했는데 ㅎㅎ 그래도 샀으니 잘써보겠습니다. 물청소하게끔 잘만들어졌고 탈부착은 쉽네요. 큰거좀 만들어주세요. 진짜 아댬합니다.ㅋ",쇼핑몰
2022,가전,주방가전,(TV) ○○ 양면석쇠구이기,"처음엔 남편이 못사게 반대했는데
어제 여기에 쥐포 구워주니 맛있다고
혼자 다 먹네요^^:
그 외에 떡, 치킨 요리 다 맛있게 돼서 너무 좋아요
다만 생선 구울 때
냄새가 안 나는건 아니라서 별 하나 뺐어요
냄새가 확 줄 줄 알았는데
홈쇼핑 방송 보고 너무 기대했나봐요 ㅜㅜ",쇼핑몰
2023,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"기다리던 OO에어프라이어가 왔네요^^
다른회사 에어프라이어를 썼는데 
요거 OOOO에어프라이어 갖고 싶어서^^
엄마 드리고 저는 이번에 새로 샀네요^^
받자마자 위치잡고 음식담는 통은 씻어 놓았어요^^
냉동식품 해먹고싶어서 많이 사 놓았네요^^
ㅋㅋㅋ 역시 사이즈 넓고 디자인 좋네요^^
강추~~~~입니다!!!",쇼핑몰
